107 , 55 , 19 , 1
104 , 51 , 15 , 1
98 , 44 , 14 , 1
94 , 40 , 13 , 1
95 , 43 , 12 , 1
99 , 43 , 15 , 1
111 , 60 , 18 , 1
107 , 54 , 16 , 1
111 , 60 , 17 , 1
112 , 63 , 20 , 1
112 , 59 , 17 , 1
115 , 61 , 16 , 1
101 , 47 , 14 , 1
102 , 49 , 13 , 1
95 , 40 , 14 , 1
103 , 51 , 16 , 1
101 , 48 , 13 , 1
103 , 56 , 15 , 1
98 , 50 , 12 , 1
100 , 49 , 15 , 1
99 , 53 , 16 , 1
95 , 47 , 16 , 1
94 , 43 , 16 , 1
91 , 37 , 16 , 1
92 , 42 , 14 , 1
99 , 48 , 16 , 1
119 , 78 , 17 , 0
124 , 83 , 16 , 0
120 , 84 , 12 , 0
70 , 59 , 4 , 0
116 , 71 , 16 , 0
112 , 73 , 15 , 0
102 , 60 , 15 , 0
116 , 77 , 11 , 0
119 , 80 , 17 , 0
96 , 48 , 11 , 0
102 , 58 , 14 , 0
107 , 53 , 16 , 0
110 , 62 , 16 , 0
110 , 55 , 15 , 0
70 , 56 , 5 , 0
108 , 71 , 11 , 0
107 , 71 , 11 , 0
74 , 72 , 1 , 0
105 , 57 , 14 , 0
108 , 61 , 16 , 0
110 , 67 , 12 , 0
108 , 68 , 15 , 0
106 , 60 , 15 , 0
117 , 85 , 15 , 0
120 , 79 , 14 , 0
121 , 76 , 15 , 0
